trade_row_loc,original_price,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trend_reward,profit_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
50,7369.07,7376.824941025384,7384.206933361044,0.0010523635988509443,0.9482534906172893,7002.099999999999,7.0,0,buy,False,0,0,0,0,0,9985.646350103147,0.0,7.0,2997.9000000000005,0.9482534906172893,6987.746350103147,6995.099999999999,10000
51,7382.63,7390.656296981079,7384.77465641086,0.0010871866775226324,0.04055932368583361,300.059811,0.29979000000000006,0,buy,False,0,0,0,0,0,9997.879336258666,18.40123651967042,7.29979,2697.8401890000005,0.9888128143031228,7300.039147258664,7294.8600209999995,10000
52,7378.53,7378.53,7384.77465641086,0.0014072417636703982,0,0,0,0,hold,False,0,0,-0.0005553576435499418,0,-0.0005553576435499418,9993.825203720022,12.837440816820163,7.29979,2697.8401890000005,0.9888128143031228,7295.98501472002,7294.8600209999995,10000
53,7357.83,7365.980270019637,7383.986679128185,0.001107700234938439,0.07323670501645288,539.99969223024,0.5395680378000001,0,buy,False,0,0,0,0,-0.0005553576435499418,9972.220311504916,-15.2529423658616,7.8393580378,2157.8404967697606,1.0620495193195758,7814.3798147351545,7834.32014519244,10000
54,7359.59,7345.597955749816,7383.986679128186,0.0019011988779516946,0.31861485579587273,2338.076216772279,2.340416633405685,-14.57163419679273,sell,False,0,0,-0.29983255932795405,0,-0.30038791697150397,9967.291028864449,-12.864581283662119,10.179774671205685,4495.916713542039,0.743434663523703,5471.3743153224095,10174.736778598124,10000
55,7351.61,7359.2421008732545,7380.5496320603515,0.0010381536661023224,0.1832213647922242,1349.7191565724554,1.3487750140626118,0,buy,False,0,0,0,0,-0.30038791697150397,9958.611281297239,-23.69362755408838,11.528549685268297,3146.197556969584,0.9266560283159272,6812.413724327654,11523.107160156516,10000
56,7307.21,7307.21,7380.5496320603515,0.001536202040033927,0,0,0,0,hold,False,0,0,-0.006039493389883342,0,-0.3064274103613873,9917.46775364001,-83.94546394592544,11.528549685268297,3146.197556969584,0.9266560283159272,6771.270196670426,11523.107160156516,10000
57,7315.14,7305.394787327724,7380.549632060351,0.0013321976985096798,0.27799680849477815,2028.8455592358243,2.030876435671496,-22.923683414262314,sell,False,0,0,-0.29924033933608035,0,-0.6056677496974676,9920.076121487888,-73.18426884260771,13.559426120939793,5175.043116205408,0.648659219821149,4745.03300528248,13553.983595828013,10000
58,7343.95,7357.551631525086,7375.820281068301,0.0018520866189293687,0.28123339708792033,2071.259256830053,2.0700172464821636,0,buy,False,0,0,0,0,-0.6056677496974676,9932.868743324714,-34.08842635502151,15.629443367421956,3103.7838593753554,0.9298926169090693,6829.084883949359,15623.172835411584,10000
59,7342.0,7342.0,7375.820281068301,0.00115966239672197,0,0,0,0,hold,False,0,0,-0.00026552468358302927,0,-0.6059332743810506,9931.055452721743,-36.73462187223049,15.629443367421956,3103.7838593753554,0.9298926169090693,6827.271593346387,15623.172835411584,10000
60,7344.71,7344.71,7375.820281068301,0.0013372166571092754,0,0,0,0,hold,False,0,0,0.00036910923454098386,0,-0.6055641651465096,9933.575461713566,-33.057088614981694,15.629443367421956,3103.7838593753554,0.9298926169090693,6829.79160233821,15623.172835411584,10000
61,7321.14,7330.9049101365745,7370.032308300951,0.0013337963946289553,0.16928564120599432,1242.2584518763924,1.2415135437501421,0,buy,False,0,0,0,0,-0.6055641651465096,9908.76332011548,-65.042128789657,16.870956911172097,1861.525407498963,1.0991782581150638,8047.237912616518,16864.189773744227,10000
62,7290.92,7299.998386390138,7361.273857232532,0.001245163352517611,0.1783775240590865,1303.4587055848488,1.303067785249274,0,buy,False,0,0,0,0,-0.6055641651465096,9872.623705283271,-106.05137418968661,18.17402469642137,558.0667019141142,1.2775557821741503,9314.557003369157,18166.345411543825,10000
63,7234.13,7234.13,7361.273857232532,0.001001670553579223,0,0,0,0.0,sell,True,0,0,-1,0,-1.6055641651465096,9800.071312413602,-183.1167297908687,18.17402469642137,558.0667019141142,1.2775557821741503,9242.004610499487,18166.345411543825,10000
64,7232.52,7232.52,7361.273857232532,0.0014362757934152184,0,0,0,0,hold,False,0,0,-0.00022255613321860222,0,-1.605786721279728,9798.0144476043,-185.3015373717426,18.17402469642137,558.0667019141142,1.2775557821741503,9239.947745690186,18166.345411543825,10000
65,7182.35,7182.35,7361.273857232532,0.001087613499750423,0,0,0,0,hold,False,0,0,-0.006936724682406622,0,-1.6127234459621347,9733.919474012624,-253.38339844783513,18.17402469642137,558.0667019141142,1.2775557821741503,9175.85277209851,18166.345411543825,10000
66,7226.35,7214.805187109798,0,0.0015975994644879905,1.2775557821741503,9208.098767968122,9.217316084052174,-196.33921250670937,sell,False,0,0,-1.0,0,-2.6127234459621347,9766.165469882237,-193.67437139286085,27.39134078047354,9766.165469882237,0.0,0.0,27383.661495596,10000
67,7231.23,7231.23,0,0.0010698769614591824,0,0,0,0,hold,False,0,0,-0.0006753063441431981,0,-2.613398752306278,9766.165469882237,-187.05209748312882,27.39134078047354,9766.165469882237,0.0,0.0,27383.661495596,10000
68,7207.45,7207.45,0,0.0013154589737358632,0,0,0,0,sell,True,0,0,-1,0,-3.613398752306278,9766.165469882237,-219.3221125596574,27.39134078047354,9766.165469882237,0.0,0.0,27383.661495596,10000
69,7218.9,7218.9,0,0.0014483217083069437,0,0,0,0,hold,False,0,0,-0.0015886339828926762,0,-3.6149873862891706,9766.165469882237,-203.78419529194434,27.39134078047354,9766.165469882237,0.0,0.0,27383.661495596,10000
70,7238.45,7252.242132874629,7259.498002942537,0.001905398652284499,0.6729837620078288,4885.524276308589,4.8830827349411186,0,buy,False,0,0,0,0,-3.6149873862891706,9752.000505679216,-177.2543889527442,32.27442351541466,4880.641193573648,0.6729837620078288,4871.359312105568,32264.302689169646,10000
71,7224.13,7224.13,7259.498002942537,0.001092764561378495,0,0,0,0,hold,False,0,0,-0.001978324088720489,0,-3.616965710377891,9742.363378207265,-196.68696321245443,32.27442351541466,4880.641193573648,0.6729837620078288,4861.722184633617,32264.302689169646,10000
72,7239.39,7247.658650739695,7258.43861262465,0.001142175064431501,0.20196220198853906,1465.2172927227448,1.4641923580720944,0,buy,False,0,0,0,0,-3.616965710377891,9749.498963146569,-175.97878701111404,33.73861587348676,3415.423900850903,0.8749459639963679,6334.075062295667,33728.05578953432,10000
73,7267.77,7280.779830448276,7261.306981191687,0.0017900718443588017,0.09380151290361126,683.6312479943167,0.6830847801701807,0,buy,False,0,0,0,0,-3.616965710377891,9772.426503045948,-137.46646456065537,34.42170065365694,2731.7926528565863,0.9687474768999792,7040.633850189362,34411.00395274847,10000
74,7248.59,7248.59,7261.306981191687,0.0010212359748169892,0,0,0,0,hold,False,0,0,-0.0026390488416668267,0,-3.619604759219558,9753.845926439006,-163.4941722632575,34.42170065365694,2731.7926528565863,0.9687474768999792,7022.05327358242,34411.00395274847,10000
75,7211.97,7211.97,7261.306981191687,0.0019111505480903209,0,0,0,0,buy,True,0,0,-1,0,-4.619604759219558,9718.37039383493,-213.1883670531006,34.42170065365694,2731.7926528565863,0.9687474768999792,6986.577740978343,34411.00395274847,10000
76,7215.88,7215.88,7261.306981191687,0.0015734080856809273,0,0,0,0,hold,False,0,0,0.0005421542241578879,0,-4.6190626049954,9722.158196469609,-207.88240578526165,34.42170065365694,2731.7926528565863,0.9687474768999792,6990.365543613022,34411.00395274847,10000
77,7195.57,7186.465289097271,7261.306981191686,0.0012653217052615634,0.5812484861399875,4172.944947915371,4.177122069985357,-47.67874230001962,sell,False,0,0,-0.601125850208152,0,-5.220188455203552,9693.01371371483,-235.44354986450162,38.5988227236423,6904.737600771958,0.3874989907599917,2788.2761129428736,38588.12602273383,10000
78,7217.89,7231.1553099536595,7246.10829784662,0.0018378376441951345,0.7632765183394246,5524.89483863369,5.523790080617567,0,buy,False,0,0,0,0,-5.220188455203552,9686.013801511854,-205.15478886752317,44.122612804259866,1379.842762138268,1.1507755090994163,8306.171039373587,44107.497071286896,10000
79,7220.12,7220.12,7246.10829784662,0.0017687947474799835,0,0,0,0,hold,False,0,0,0.00030895455597126903,0,-5.21987950064758,9688.580030897145,-202.12862681451043,44.122612804259866,1379.842762138268,1.1507755090994163,8308.737268758878,44107.497071286896,10000
